state,mp_name,mp_name_normalized,constituency,allocated_amount,allocation_level,allocation_term,allocation_term_confidence,allocation_term_evidence,source_package,source_file,source_row_number,source_record_id,allocation_is_cumulative_or_aggregate
Tamil Nadu,CN Annadurai(17TH Lok Sabha),CN Annadurai,TIRUVANNAMALAI,48191981.0,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,71,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row71,True
Tamil Nadu,D M Kathir Anand (17th Lok Sabha),D M Kathir Anand,VELLORE,69885601.0,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,72,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row72,True
Tamil Nadu,D Ravikumar,D Ravikumar,VILUPPURAM(SC),72417768.0,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,73,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row73,True
Telangana,Dayakar Pasunoori(17th Lok Sabha),Dayakar Pasunoori,WARANGEL(SC),106908056.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,74,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row74,True
Chhattisgarh,Deepak Baij,Deepak Baij,BASTAR(ST),73563957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,75,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row75,True
Uttar Pradesh,Devendra Alias Bhole Singh(17th Lok Sabha),Devendra Alias Bhole Singh,AKBARPUR,76530281.23,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,76,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row76,True
Rajasthan,Devji Mansingram Patel(17th Lok Sabha),Devji Mansingram Patel,JALORE,73563957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,77,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row77,True
Gujarat,Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,98063957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,78,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row78,True
Maharashtra,Dhairyasheel Sambhajirao Mane(17th Lok Sabha),Dhairyasheel Sambhajirao Mane,HATKANANGLE,107321516.78999999,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,79,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row79,True
Madhya Pradesh,Dhal Singh Bisen,Dhal Singh Bisen,BALAGHAT,48992666.9,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,80,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row80,True
Tamil Nadu,Dhanush M Kumar(17th Lok Sabha),Dhanush M Kumar,TENKASI(SC),112718252.0,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,81,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row81,True
Uttar Pradesh,Dharmendra Kumar Kashyap(17th Lok Sabha),Dharmendra Kumar Kashyap,AONLA,75587171.07,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,82,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row82,True
Bihar,Dileshwar Kamait,Dileshwar Kamait,SUPAUL,55691994.0,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,83,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row83,True
Assam,Dilip Saikia,Dilip Saikia,Darrang-Udalguri,73563957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,84,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row84,True
Bihar,Dinesh Chandra Yadav,Dinesh Chandra Yadav,MADHEPURA,114593091.0,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,85,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row85,True
